time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2021-05-05 16:32:59.927 UTC, , , , , , , , , ,1469,3406301,258432,672, ,47, ,11, , , , , , , , , ,47,8, , , ,19,8,16, , , , , , , , , , , ,1, , , ,3406301,3785,2, ,2513, , , , ,334342,7597899774,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,334342,1620231869661,,, , , , , , , , , ,3145728,334312,285,285,80,285, , , , , , , , ,3,4, , ,1, , , , , , , , , , , , , , , , , , , ,231453816,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , 
2021-05-05 16:37:20.502 UTC, , , , , , , , , ,125,3364485,218632, , ,49,1,7638,47,0.01, , , , , , , ,49,8, ,3745,1,11,47,7, ,3879,16, , , , , , , , ,1, , , ,3364485,382545,3,340614,340614,1,22,19,27,382600,7582478334,28,28,28,28, , , , , ,42,3927, , , , , , , , , , , , , , , , , , , , , , , , , ,382600,1620232639834,,, , , , , , , , , ,3145728,382545,5,5,2,5, , ,70,1,1,4,1, ,3,2, ,70, ,2048,1, , , ,2, ,3506933,488,48258,2, , , , ,3,189,13,185,103808760,2, , , , , , ,3880, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 16:37:20.656 UTC, , , , , , , , , ,125,3364485,218632, , ,49, ,10, , , , , , , , , ,49,8, , , ,11,46,7, ,4,2, , , , , , , , ,1, , , ,3364485,382545,3,340614,340614, , , , ,382600,7582478334,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,382600,1620232639834,,, , , , , , , , , ,3145728,382545, , , , , , ,2, , ,1, , ,3, , ,2,1, , , , , , , ,2176,3, , , , , , , , , , ,121715992,2, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,8, , , , , , , , , , , 
2021-05-05 16:37:20.738 UTC, , , , , , , , , ,125,3164981,19128, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,28,18, , , , , , , , ,1, , , ,3164981,382977,4, ,382672, , , , ,383029,7582474238,28,28,28,28, , , , , ,47,3989, , , , , , , , , , , , , , , , , , , , , , , , , ,383029,1620232640697,,, , , , , , , , , ,3145728,382977, , , , , , ,26, , ,2, , ,3, , ,26, ,2048,1, , , , , ,855158,129, , , , , , ,3,189,13,185,138235616,2, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 16:38:20.744 UTC, , , , , , , , , ,125,3353613,207088,672, ,45,21,524,42,0.08, , , , , , , ,45,7, , ,21,23,13,26, ,254,199, , , , , , , , ,1, , , ,3353613,382977,4, ,382672, , , , ,383543,7592812542,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,383543,1620232640697,,, , , , , , , , , ,3145728,383513,1,1,1,1, , ,266,3,3,3,3, ,3,6, ,266,1, , , , , ,6, ,174538,275,514,3, , , , ,1,126,2,112,229358512,1, , , , , , ,1638, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2, ,1173,444,12, , , , , , , , , , 
2021-05-05 16:39:20.755 UTC, , , , , , , , , ,125,3353613,207088,672, ,45, ,12, , , , , , , , , ,45,7, , , ,23,13,26, , , , , , , , , , , ,1, , , ,3353613,382977,4, ,382672, , , , ,383543,7580078078,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,383543,1620232640697,,, , , , , , , , , ,3145728,383513,4,4,2,4, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,244880672,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2021-05-05 16:40:20.759 UTC, , , , , , , , , ,125,3353613,207088,672, ,45, ,12, , , , , , , , , ,45,7, , , ,23,13,26, , , , , , , , , , , ,1, , , ,3353613,382977,4, ,382672, , , , ,383543,7591694334,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,383543,1620232640697,,, , , , , , , , , ,3145728,383513,1,1,1,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,248078528,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2021-05-05 16:41:20.761 UTC, , , , , , , , , ,125,3353613,207088,672, ,45, ,12, , , , , , , , , ,45,7, , , ,23,13,26, , , , , , , , , , , ,1, , , ,3353613,382977,4, ,382672, , , , ,383543,7579615230,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,383543,1620232640697,,, , , , , , , , , ,3145728,383513,5,5,2,5, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,249885152, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2021-05-05 16:42:20.763 UTC, , , , , , , , , ,125,3353613,207088,672, ,45, ,12, , , , , , , , , ,45,7, , , ,23,13,26, , , , , , , , , , , ,1, , , ,3353613,382977,4, ,382672, , , , ,383543,7570870270,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,383543,1620232640697,,, , , , , , , , , ,3145728,383513,6,6,2,6, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,250931688, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2021-05-05 16:43:20.769 UTC, , , , , , , , , ,125,3353613,207088,672, ,45, ,12, , , , , , , , , ,45,7, , , ,23,13,26, , , , , , , , , , , ,1, , , ,3353613,382977,4, ,382672, , , , ,383543,7569887230,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,383543,1620232640697,,, , , , , , , , , ,3145728,383513,2,2,1,2, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,252310072, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
