time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2021-05-05 16:13:05.769 UTC, , , , , , , , , ,125,3177005,31152, , ,5,2,38,5,0.13,1, , , , , ,1,5,5, ,5,1,2,3,6, ,44,20, , , , , , , , ,1, , , ,3177005,383902,7,382449,382449,1,3,1,5,383957,8153694206,26,26,26,26, , , , , ,47,3994, , , , , , , , , , , , , , , , , , , , , , , , , ,383957,1620231185173,,, , , , , , , , , ,3145728,383902,6,6,3,6, , ,33,1,1,4,1, ,3,2, ,33, ,2048,1, , , ,1, ,874302,139,1579,1, , , , ,3,416,14,333,122087112,3, , , , , , ,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 16:13:05.944 UTC, , , , , , , , , ,125,3178837,32984, , ,5, ,10, , , , , , , , , ,5,5, , ,1,2,2,6, ,4,2, , , , , , , , ,1, , , ,3178837,383902,7,382449,382449, , , , ,383957,8153694206,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,383957,1620231185173,,, , , , , , , , , ,3145728,383902, , , , , , ,3, , ,1, , ,3, , ,3,1, , , , , , , ,4224,4, , , , , , , , , , ,138216120,3, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,8, , , , , , , , , , , 
2021-05-05 16:13:06.108 UTC, , , , , , , , , ,125,3165205,19352, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,36,22, , , , , , , , ,1, , , ,3165205,384400,8, ,384029, , , , , , ,-1,-1,-1,-1, , , , , ,47,4011, , , , , , , , , , , , , , , , , , , , , , , , , , ,1620231186020,,, , , , , , , , , ,3145728,384400, , , , , , ,30, , ,2, , ,3, , ,30, ,2048,1, , , , , ,855908,133, , , , , , ,3,416,14,333,153039368,3, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 16:14:06.114 UTC, , , , , , , , , ,125,3348389,201864,672, ,41,17,503,38,0.08, , , , , , , ,41,7, , ,17,21,13,22, ,266,201, , , , , , , , ,1, , , ,3348389,384400,8, ,384029, , , , ,384968,8146980862,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,384968,1620231186020,,, , , , , , , , , ,3145728,384938,3,3,1,3, , ,260,3,3,3,3, ,3,6, ,260,1, , , , , ,12, ,172224,275,516,3, , , , ,1,149,2,61,283687904,1, , , , , , ,1637, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2, ,1172,444,12, , , , , , , , , , 
2021-05-05 16:15:06.119 UTC, , , , , , , , , ,125,3348389,201864,672, ,41, ,12, , , , , , , , , ,41,7, , , ,21,13,22, , , , , , , , , , , ,1, , , ,3348389,384400,8, ,384029, , , , ,384968,8159895550,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,384968,1620231186020,,, , , , , , , , , ,3145728,384938,4,4,1,4, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,286577752,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2021-05-05 17:42:12.797 UTC, , , , , , , , , ,125,3172341,26376,112, ,5,2,40,5,0.13,1, , , , , ,1,5,5, ,5,1,2,3,5, ,50,23, , , , , , , , ,1, , , ,3172341,386622,9,385039,385039,1,3,1,5,386677,6427303934,26,26,26,26, , , , , ,47,4014, , , , , , , , , , , , , , , , , , , , , , , , , ,386677,1620236531457,,, , , , , , , , , ,3145728,386622,2,2,1,2, , ,36,1,1,5,1, ,3,2, ,36,1,2048,1, , , , , ,872339,142,1709,1, , , , ,3,463,12,336,281072056, , , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 17:42:13.204 UTC, , , , , , , , , ,125,3172229,26376, , ,5, ,8, , , , , , , , ,1,5,5, , , ,2,2,6, ,2,1, , , , , , , , ,1, , , ,3172229,386622,9,385039,385039, , , , ,386677,6427303934,26,26,26,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,386677,1620236531457,,, , , , , , , , , ,3145728,386622, , , , , , ,1, , , , , ,3, , ,1,1, , , , , , , ,81,1, , , , , , , , , , ,295152072, , , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,8, , , , , , , , , , , 
2021-05-05 17:42:13.593 UTC, , , , , , , , , ,125,3165253,19400, , ,3,1,25,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,40,24, , , , , , , , ,1, , , ,3165253,387051,10, ,386749, , , , ,387103,6427295742,25,25,25,25, , , , , ,48,4031, , , , , , , , , , , , , , , , , , , , , , , , , ,387103,1620236533344,,, , , , , , , , , ,3145728,387051, , , , , , ,33, , ,2, , ,3, , ,33, ,2048,1, , , , , ,874512,138, , , , , , ,3,463,12,336,312353936, , , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2021-05-05 17:43:13.617 UTC, , , , , , , , , ,125,3347525,201000,672, ,41,17,386,38,0.10, , , , , , , ,41,7, , ,17,21,18,18, ,206,185, , , , , , , , ,1, , , ,3347525,387051,10, ,386749, , , , ,387617,6427258878,25,25,25,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,387617,1620236533344,,, , , , , , , , , ,3145728,387587,23,23,6,23, , ,244,3,3,3,3, ,3,5, ,244,1, , , , , ,12, ,170961,259,514,3, , , , ,1,360,2,168,135215128, , , , , , , ,1337, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,2, ,984,331,12, , , , , , , , , , 
2021-05-05 17:49:58.960 UTC, , , , , , , , , ,125,3172429,26576, , ,5,3,40,5,0.13,1, , , , , ,1,5,5, ,5,2,2,3,6, ,53,24, , , , , , , , ,1, , , ,3172429,389968,11,387688,387688,1,1,3,7,390023,6427275262,25,25,25,25, , , , , ,48,4034, , , , , , , , , , , , , , , , , , , , , , , , , ,390023,1620236998055,,, , , , , , , , , ,3145728,389968,3,3,1,3, , ,38,1,1,4,1, ,3,2, ,38, ,2048,1, , , , , ,888848,145,2406,1, , , , ,3,431,10,257,289387784, , , , , , , ,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
